Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo & David Guetta,Goodbye (feat. Nicki Minaj & Willy William) - Single
Lucky (feat. Colbie Caillat),Jason Mraz & Colbie Caillat,We Sing. We Dance. We Steal Things
Love Natural,Jasper Sawyer,Undiscovered Music of Jasper Sawyer
Running in the Rain,Jasper Sawyer,Undiscovered Music of Jasper Sawyer
From That Place,Jasper Sawyer,Undiscovered Music of Jasper Sawyer
"Ayo, I'm Working Hard",Jasper Sawyer,Undiscovered Music of Jasper Sawyer
Somebody to Love,Jasper Sawyer,Undiscovered Music of Jasper Sawyer
"Pretty, Pretty",Jasper Sawyer,Undiscovered Music of Jasper Sawyer
Have a Little Fun,Jasper Sawyer,Undiscovered Music of Jasper Sawyer (Mixtape)
Young Forever (feat. Mr Hudson),JAY-Z,The Blueprint 3
Holy Grail (feat. Justin Timberlake),JAY-Z,Magna Carta... Holy Grail
Empire State of Mind (feat. Alicia Keys),JAY-Z & Alicia Keys,"The Hits Collection, Vol. One (Deluxe Edition)"
Ni**as in Paris,JAY-Z & Kanye West,Watch the Throne
Spotlight,Jennifer Hudson,Spotlight - Single
Think Like a Man (feat. Rick Ross),Jennifer Hudson & Ne-Yo,Think Like a Man (Music from & Inspired By the Film)
On the Floor (feat. Pitbull) [Radio Edit],Jennifer Lopez,LOVE? (Bonus Version)
I'm Into You (feat. Lil Wayne),Jennifer Lopez,LOVE? (Deluxe Edition)
Body Language (feat. T-Pain),Jesse McCartney,Body Language (feat. T-Pain) - Single
Leavin',Jesse McCartney,Departure: Recharged (Bonus Track Version)
Body Language,Jesse McCartney,Departure: Recharged (Bonus Track Version)
Better,Jessica Reedy,Better - Single
Who You Are,Jessie J,Who You Are (Platinum Edition)
Save the Night,John Legend,Love in the Future (Expanded Edition)
Tonight (Best You Ever Had) [feat. Ludacris],John Legend,Think Like a Man (Music from & Inspired By the Film)
A Good Night,John Legend & BloodPop®,A Good Night - Single
Too Little Too Late (2018),JoJo,The High Road (2018)
Anything (2018),JoJo,The High Road (2018)
I Believe (Island Medley) [So Long Bye Bye],Jonathan Nelson,Fearless (Deluxe Edition)
No Air,Jordin Sparks & Chris Brown,Jordin Sparks (Deluxe Version)
U Can Have It All,JRDN,U Can Have It All - Single
Touch the Sky,Julie Fowlis,Brave (Original Score)
Intentions (feat. Quavo),Justin Bieber,Changes
Holy (feat. Chance the Rapper),Justin Bieber,Holy (feat. Chance the Rapper) - Single
One Time,Justin Bieber,My World
Never Say Never (feat. Jaden Smith),Justin Bieber,Never Say Never (The Remixes) - EP
Sorry,Justin Bieber,Purpose
What Do You Mean?,Justin Bieber,Purpose (Deluxe)
Love Yourself,Justin Bieber,Purpose (Deluxe)
Say Something (feat. Chris Stapleton),Justin Timberlake,Man of the Woods
Until the End of Time (Duet with Beyonce),Justin Timberlake & Beyoncé,FutureSex / LoveSounds (Deluxe Version)
My Love (feat. T.I.),Justin Timberlake & T.I.,FutureSex / LoveSounds (Deluxe Version)
Champion,Kanye West,Graduation
All of the Lights,Kanye West,My Beautiful Dark Twisted Fantasy
Whine Up (feat. Elephant Man),Kat Deluna,Whine Up (feat. Elephant Man) - Single
Run the Show (feat. Busta Rhymes),Kat Deluna,9 Lives
Over It,Katharine McPhee,Katharine McPhee
Roar,Katy Perry,PRISM (Deluxe Version)
Teenage Dream,Katy Perry,Teenage Dream
Because of You,Kelly Clarkson,Breakaway
Since U Been Gone,Kelly Clarkson,The Collection
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version)
A Moment Like This,Kelly Clarkson,Thankful
Knock You Down (feat. Kanye West & Ne-Yo),Keri Hilson,In a Perfect World... (Bonus Track Version)
Pretty Girl Rock,Keri Hilson,No Boys Allowed (Deluxe)
Too Real,Kerwin Du Bois,Too Real - Single
Monster Winer,Kerwin Du Bois & Lil Rick,Lil Rick Hd & Friends
Hello,Kes,Folklore Riddim - EP
TiK ToK,Kesha,Animal (Expanded Edition)
Blah Blah Blah (feat. 3OH!3),Kesha,Animal (Expanded Edition)
We R Who We R,Kesha,Cannibal (Expanded Edition)
I Ain't Thru (feat. Nicki Minaj),Keyshia Cole,Calling All Hearts (Deluxe Version)
Young Dumb & Broke,Khalid,American Teen
Another Sad Love Song,Khalid,American Teen
Coaster,Khalid,American Teen
8TEEN,Khalid,American Teen
Therapy,Khalid,American Teen
Right Back,Khalid,Free Spirit
Know Your Worth,Khalid & Disclosure,Know Your Worth - Single
Lockdown,Koffee,Lockdown - Single
Rapture,Koffee,Rapture EP
Toast,Koffee,Rapture EP
Throne,Koffee,Rapture EP
Gal a Bubble,Konshens,Gal a Bubble - Single
No Hesitation (I'm Coming),Konshens,"Phantom, Vol. 3"
Walk and Wine (Gal a Bubble 3),Konshens,Walk and Wine (Gal a Bubble 3) - Single
Walk and Wine (Gal a Bubble 3),Konshens,Walk and Wine (Gal a Bubble 3) - Single
Do D Ting,Konshens & Dario,Go-Go Club Riddim
